obi,hedge,kill,seed,pnl_usd,return_pct,sharpe,max_drawdown_pct,inv_max,inv_final,sigma2_max
False,False,False,20240103,-719.7200000000003,-0.7197200000000015,-0.06140409551377859,-0.8330052040077897,307,80,0.03632
False,False,False,20240102,-1275.9499999999998,-1.2759499999999924,-0.082692250335523,-1.400940131923994,361,-15,0.03556555556
False,False,False,20240101,-161.04000000000087,-0.16104000000001228,-0.02203496369566227,-0.35327102915790026,459,187,0.0031467514120000002
False,False,True,20240101,-276.09000000000015,-0.2760899999999955,-0.032611345519948,-0.46774091379680205,357,133,0.001765988701
False,False,True,20240102,-130.80999999999995,-0.13080999999999232,-0.015105762442533945,-0.3701893566413974,339,24,0.001777514124
False,False,False,20240104,-1029.6399999999999,-1.0296399999999983,-0.07810626403064894,-1.1488090196871585,350,22,0.012491666670000002
False,True,False,20240101,-520.0100000000002,-0.520009999999993,-0.04579408113659669,-0.6084237490582443,377,-32,0.0028077683620000003
False,False,True,20240104,-398.6700000000001,-0.39867000000000097,-0.047713205322910054,-0.48953729507549254,372,49,0.00176827012
False,False,True,20240103,-286.9399999999996,-0.2869400000000022,-0.03383800018166922,-0.4707386279047646,327,-42,0.0013094632769999998
False,True,False,20240102,-1013.0600000000002,-1.013059999999999,-0.07759502770098792,-1.069080641036481,347,-26,0.03556555556
False,True,False,20240104,-918.81,-0.9188099999999921,-0.07365281235165543,-0.9395874102666358,420,29,0.022641920899999998
False,True,False,20240103,-729.4499999999998,-0.7294499999999982,-0.0647880564001942,-0.7876003710777737,437,56,0.03632
False,True,True,20240102,-384.3199999999997,-0.38432000000000466,-0.046060653286104224,-0.5136052124304308,331,48,0.0017792090400000002
False,True,True,20240101,-145.75,-0.14575000000000005,-0.01717220014178639,-0.25746002827102,444,95,0.0017633898310000001
False,True,True,20240103,-412.2499999999991,-0.4122500000000029,-0.051919319259334094,-0.49706333900048916,335,80,0.001765649718
False,True,True,20240104,-517.5500000000002,-0.51755,-0.055592729936536196,-0.5384936895427075,370,55,0.00176827012
True,False,False,20240102,-5105.1999999999825,-5.1051999999999875,-0.0999442231110606,-5.2807087109353015,1864,-1734,0.028100677969999998
True,False,False,20240101,-6299.750000000007,-6.299750000000004,-0.1209833268797867,-6.357664815996538,1223,338,0.018003276840000002
True,False,False,20240103,-5332.21,-5.3322100000000034,-0.12678115770917434,-5.348677264866819,1235,-116,0.03733333333
True,False,True,20240101,-4393.550000000003,-4.393550000000001,-0.11799757231996183,-4.408127760516524,1382,-982,0.0017792090400000002
True,False,False,20240104,-6186.0599999999995,-6.186059999999993,-0.14177334410120732,-6.208625939804899,827,-88,0.01613
True,False,True,20240102,-4341.080000000002,-4.341079999999997,-0.11354732651348053,-4.4011507005614074,921,-511,0.0017792090400000002
True,False,True,20240104,-4234.860000000001,-4.234859999999996,-0.11866490970946185,-4.258000841196682,1194,722,0.0017792090400000002
True,False,True,20240103,-4463.0899999999965,-4.463089999999992,-0.12240261589774588,-4.540018220347408,1028,-723,0.0017792090400000002
True,True,False,20240101,-7619.810000000012,-7.619810000000015,-0.24877812284981515,-7.629619734384216,2137,1292,0.008263954802
True,True,False,20240102,-7972.7699999999895,-7.972769999999985,-0.2587892172707219,-7.9962107199632175,2578,-2578,0.01735
True,True,False,20240103,-7358.530000000001,-7.3585299999999965,-0.2680853548916112,-7.363773210436292,1031,26,0.03733333333
True,True,True,20240102,-7293.76999999996,-7.293769999999955,-0.275799846547317,-7.312660594487036,3330,-3193,0.0017792090400000002
True,True,True,20240101,-7367.619999999995,-7.367619999999997,-0.28250794777944377,-7.381991800819914,1305,-896,0.0017792090400000002
True,True,False,20240104,-7363.880000000005,-7.36388,-0.2408322920318104,-7.3911889835400535,3038,2525,0.0189520904
True,True,True,20240104,-6831.199999999953,-6.831199999999948,-0.2666109121692488,-6.853713457457284,3283,3183,0.001777853107
True,True,True,20240103,-7335.439999999995,-7.335440000000004,-0.2832905513081742,-7.354116402895201,1641,-342,0.001778644068
