eta,seed,pnl_usd,sharpe,max_drawdown_pct,inv_max,inv_final,obi_abs_median,displacement_cents
0.001,20240101,-2426.939999999944,-0.05939525137249664,-2.9995600087998193,882,539,0.42,0.042
0.001,20240102,-3864.4400000000314,-0.10320893228695224,-4.011283921810336,441,-263,0.43,0.043
0.001,20240103,-3080.9199999999255,-0.077885960689894,-3.133579926022212,1180,-1180,0.43,0.043
0.005,20240101,-1837.5,-0.0505497008662181,-2.395872082558274,741,707,0.4,0.2
0.005,20240102,-3845.609999999986,-0.1148762692370267,-4.05544675153379,506,-500,0.41,0.20499999999999996
0.001,20240104,-1861.9799999999814,-0.06916975701789023,-1.9110103736134543,461,420,0.43,0.043
0.005,20240104,-2466.850000000093,-0.06693194506546349,-2.5568200851381255,640,640,0.43,0.215
0.02,20240101,-2548.6500000000233,-0.06253162760652789,-3.0144997100058557,730,407,0.4,0.8
0.005,20240103,-2708.340000000084,-0.0674459708354775,-2.785036638641928,1129,-1043,0.44,0.22
0.02,20240102,-3621.2399999999907,-0.08417464334955772,-3.955652860690382,984,-961,0.42,0.84
0.02,20240104,-1821.2000000000698,-0.06244321489262183,-1.8643526004099458,569,569,0.43,0.86
0.02,20240103,-2668.2700000000186,-0.0735704125203328,-2.725019744274216,802,-595,0.43,0.86
0.1,20240101,-1531.7700000000186,-0.05210837173631908,-1.6520103624258653,675,660,0.41,4.1000000000000005
0.1,20240102,-2610.280000000028,-0.07570431586497683,-2.8700061954153973,628,-628,0.42,4.2
0.1,20240103,-2164.670000000042,-0.07437940110056095,-2.2634848484999646,675,-446,0.43,4.300000000000001
0.1,20240104,-3577.1399999998976,-0.10226071178733318,-3.5771399999998974,1297,1165,0.42,4.2
0.5,20240101,-11795.489999999874,-0.09373829395663479,-12.325807945276418,1408,-1055,0.42,21.0
0.5,20240102,-11089.020000000019,-0.11178703522070921,-11.200784258715872,903,-140,0.42,21.0
0.5,20240104,-10543.349999999977,-0.09970078612283771,-10.781389999999897,1275,833,0.42,21.0
0.5,20240103,-11436.829999999958,-0.11305312496682703,-11.47001608948353,834,-372,0.43,21.5
