eta,seed,pnl_usd,sharpe,max_drawdown_pct,inv_max,inv_final,obi_abs_median,displacement_cents
0.005,20240101,-189.65000000000055,-0.013684401480092966,-0.45390253696367805,673,76,0.45,0.22500000000000003
0.005,20240102,-1147.0999999999985,-0.05951629427348335,-1.2894006154675497,632,-225,0.47,0.23500000000000001
0.005,20240103,-39.45000000000073,-0.002527487665064428,-0.23287053202352223,974,-239,0.47,0.23500000000000001
0.01,20240101,-0.3699999999953434,-2.437593834541454e-05,-0.30076849296705754,689,498,0.47,0.47000000000000003
0.01,20240102,-1299.7300000000105,-0.07179852417023858,-1.4596384475565547,1293,1293,0.46,0.45999999999999996
0.005,20240104,-755.1800000000003,-0.052605973061498536,-0.9578566855541001,513,426,0.47,0.23500000000000001
0.01,20240104,-688.75,-0.03805807761531812,-0.7407223725433404,1162,813,0.44,0.44
0.01,20240103,-537.1900000000023,-0.031488678385096086,-0.6440261594130748,1030,-718,0.47,0.47000000000000003
0.02,20240101,134.0500000000029,0.009238053078786846,-0.16095470032359926,1076,983,0.44,0.88
0.02,20240104,-341.4300000000003,-0.023497566372934015,-0.6057714053281202,717,115,0.45,0.9000000000000001
0.02,20240102,-1119.56,-0.05784065187126364,-1.2071202911301322,715,-1,0.45,0.9000000000000001
0.02,20240103,-749.260000000002,-0.04258633108806969,-0.8443153254460755,829,-177,0.45,0.9000000000000001
0.05,20240101,-1823.25,-0.06071500712074389,-1.940932117770995,1357,716,0.43,2.1500000000000004
0.05,20240102,-3067.7100000000064,-0.10197751661941123,-3.1089905655114802,1136,-865,0.43,2.1500000000000004
0.05,20240103,-2504.010000000002,-0.08390565385513701,-2.563036317621621,925,-651,0.46,2.3000000000000003
0.05,20240104,-2047.2100000000064,-0.08623871112305902,-2.1563640915527857,966,-703,0.44,2.2
0.1,20240102,-5105.1999999999825,-0.0999442231110606,-5.2807087109353015,1864,-1734,0.43,4.300000000000001
0.1,20240101,-6299.750000000007,-0.1209833268797867,-6.357664815996538,1223,338,0.43,4.300000000000001
0.1,20240104,-6186.0599999999995,-0.14177334410120732,-6.208625939804899,827,-88,0.44,4.4
0.1,20240103,-5332.21,-0.12678115770917434,-5.348677264866819,1235,-116,0.44,4.4
