mm_count,backstop,num_noise,fund_vol,seed,spread_median,spread_p25,spread_p75,trade_dist_median,trade_dist_p90,trade_dist_p99,n_trades
1,50000.0,200,1e-08,20240101,1.0,1.0,1.0,0.5,2.0,9.5,22704
1,50000.0,1000,1e-08,20240102,1.0,1.0,1.0,0.5,2.0,9.0,22728
1,50000.0,1000,1e-08,20240101,1.0,1.0,1.0,0.5,1.5,5.5,22064
1,50000.0,200,1e-08,20240102,1.0,1.0,1.0,0.5,1.5,5.5,21900
1,50000.0,5000,1e-06,20240101,11.0,2.0,64.25,20.5,482.5,2756.679999999993,21384
1,50000.0,5000,1e-06,20240102,11.0,2.0,60.0,27.0,453.5,2044.9899999999943,20928
1,50000.0,5000,0.0001,20240101,151.5,5.0,2797.75,708.0,45183.0,281434.5,20288
1,50000.0,1000,1e-06,20240101,9.0,2.0,49.0,16.0,325.1500000000033,2161.029999999995,20400
1,50000.0,1000,1e-06,20240102,10.0,2.0,57.0,21.0,424.6000000000022,2003.5,20240
1,50000.0,5000,0.0001,20240102,270.5,16.0,3867.75,1287.0,66611.5,1042362.5,16990
