gamma,k,seed,pnl_usd,return_pct,sharpe,max_drawdown_pct,inv_max,inv_final,spread_mean,spread_std
0.5,20.0,20240101,-1973.719999999972,-1.9737199999999677,-0.07379768840453342,-2.468080638387237,765,501,10.877591036414566,0.33538452545822883
0.5,20.0,20240102,-3587.429999999935,-3.587429999999936,-0.10300307636623011,-3.7914619979198663,778,-657,10.994397759103641,1.6161123134597508
0.5,20.0,20240103,-2763.9799999999814,-2.763979999999977,-0.08256609076302895,-2.8194441667500123,877,-877,10.931512605042016,0.274903913956508
0.5,20.0,20240104,-654.820000000007,-0.6548200000000115,-0.03674724096962202,-0.7976745839233286,505,279,10.892156862745098,0.310655151865452
0.5,50.0,20240101,-7256.510000000009,-7.256510000000005,-0.16484104196351712,-7.584208315833786,1967,-328,4.9829131652661065,0.15152740861886665
0.5,50.0,20240102,-6676.940000000002,-6.676939999999998,-0.17233637824736361,-6.834000820887836,866,-398,5.120448179271708,1.883957180599173
0.5,100.0,20240101,-5970.399999999965,-5.970399999999964,-0.23644410835028132,-5.973620527589439,1623,-147,2.9985994397759104,0.07294458518931225
0.5,50.0,20240103,-8455.15000000014,-8.455150000000145,-0.17692087013548086,-8.479860437681966,1913,-1504,4.987394957983193,0.18444388584602706
0.5,50.0,20240104,-4803.849999999977,-4.803849999999976,-0.1680165021594615,-5.068610053181317,1404,630,4.978851540616247,0.14678063778532552
0.5,100.0,20240103,-6229.5899999999965,-6.229589999999996,-0.2233086464620942,-6.255570423904586,1881,-222,3.01078431372549,0.1723942974308722
0.5,100.0,20240104,-6923.670000000042,-6.923670000000037,-0.22009096762796265,-6.924290000000037,1684,633,2.9980392156862745,0.07482767148703741
0.5,100.0,20240102,-6698.029999999999,-6.698029999999999,-0.23617819072906832,-6.768149674629716,1278,118,3.1203081232492997,1.5867171416460273
0.5,200.0,20240101,-6167.8499999999985,-6.1678500000000085,-0.22048495307272029,-6.171726565468726,1499,-66,2.9984593837535014,0.03922318470520132
0.5,200.0,20240102,-6813.309999999998,-6.813309999999994,-0.23431782551596894,-6.889538378185782,1114,227,3.100980392156863,1.5153966839923494
0.5,200.0,20240103,-7605.25,-7.605249999999996,-0.19441380690712495,-7.635930840016189,1998,37,3.000420168067227,0.07199043092918854
1.0,20.0,20240101,-887.6499999999651,-0.8876499999999621,-0.04282051595981238,-1.3227725655364948,719,376,10.780112044817928,0.4215739540511213
1.0,20.0,20240102,-2228.030000000028,-2.2280300000000253,-0.10471289380598145,-2.413488692275502,410,-371,11.000980392156864,3.198590903890607
0.5,200.0,20240104,-6720.369999999879,-6.720369999999876,-0.2251771137173712,-6.721519999999901,937,601,2.9983193277310924,0.040964406931032815
1.0,50.0,20240101,-3382.329999999987,-3.382329999999989,-0.16643517700158128,-3.4733105337892125,881,-238,4.9715686274509805,0.18458163071251424
